global_step=32060, episodic_return=[-210.65836]
global_step=32145, episodic_return=[-15.111445]
global_step=32315, episodic_return=[-69.85113]
global_step=32325, episodic_return=[-31.163841]
global_step=32435, episodic_return=[-52.4084]
global_step=32760, episodic_return=[-70.652374]
global_step=32870, episodic_return=[-153.26556]
global_step=32990, episodic_return=[-16.300587]
global_step=33100, episodic_return=[-55.275154]
global_step=33250, episodic_return=[-16.312412]
global_step=33305, episodic_return=[-39.75313]
global_step=33425, episodic_return=[-25.473177]
global_step=33520, episodic_return=[-8.752202]
global_step=33595, episodic_return=[-55.596252]
global_step=33660, episodic_return=[-1053.2789]
global_step=33855, episodic_return=[-58.77969]
global_step=33935, episodic_return=[-59.329483]
global_step=34025, episodic_return=[-29.189774]
global_step=34140, episodic_return=[-24.871468]
global_step=34210, episodic_return=[-10.6096325]
global_step=35130, episodic_return=[-250.17767]
global_step=35140, episodic_return=[-327.36093]
global_step=35400, episodic_return=[-49.158497]
global_step=35585, episodic_return=[-34.128136]
global_step=35900, episodic_return=[-58.19193]
global_step=36440, episodic_return=[-106.854355]
global_step=36605, episodic_return=[-3.87209]
global_step=36810, episodic_return=[-1006.0024]
global_step=36900, episodic_return=[-1099.9126]
global_step=36905, episodic_return=[-47.58821]
global_step=36985, episodic_return=[-28.36872]
global_step=37050, episodic_return=[-30.676235]
global_step=37130, episodic_return=[-46.5407]
global_step=37255, episodic_return=[-34.9519]
global_step=37340, episodic_return=[-31.548405]
global_step=37515, episodic_return=[-77.094925]
global_step=37590, episodic_return=[-95.16889]
global_step=37640, episodic_return=[-36.04776]
global_step=37665, episodic_return=[-7.3750615]
global_step=37780, episodic_return=[-22.412891]
global_step=37825, episodic_return=[-50.221497]
global_step=37910, episodic_return=[-6.7809653]
global_step=37940, episodic_return=[-21.029081]
global_step=38085, episodic_return=[-43.221306]
global_step=38345, episodic_return=[-55.59956]
global_step=38355, episodic_return=[-89.266335]
global_step=38430, episodic_return=[-22.934502]
global_step=38540, episodic_return=[-34.4041]
global_step=38610, episodic_return=[-15.921486]
global_step=38855, episodic_return=[-1044.1271]
global_step=39205, episodic_return=[-107.70802]
global_step=39530, episodic_return=[-66.23052]
global_step=39715, episodic_return=[-232.12029]
global_step=39855, episodic_return=[-61.72481]
global_step=40070, episodic_return=[-29.188715]
global_step=40080, episodic_return=[-66.05116]
global_step=40140, episodic_return=[-1021.16534]
global_step=40225, episodic_return=[-22.920727]
global_step=40350, episodic_return=[-11.771386]
global_step=40500, episodic_return=[-46.157085]
global_step=40550, episodic_return=[-8.033939]
global_step=40615, episodic_return=[-2.492312]
global_step=40750, episodic_return=[-94.67936]
global_step=40950, episodic_return=[-65.90467]
SPS: 486
global_step=41015, episodic_return=[-54.786148]
global_step=41025, episodic_return=[-528.6909]
global_step=41030, episodic_return=[-20.28422]
global_step=41200, episodic_return=[3.6652923]
global_step=41260, episodic_return=[-44.74864]
global_step=41270, episodic_return=[-11.171222]
global_step=41415, episodic_return=[-23.5452]
global_step=41435, episodic_return=[-81.41364]
global_step=41575, episodic_return=[-42.347073]
global_step=41645, episodic_return=[-26.230646]
global_step=41670, episodic_return=[-98.71805]
global_step=41690, episodic_return=[-25.944233]
global_step=41785, episodic_return=[-21.448223]
global_step=41885, episodic_return=[-7.981555]
global_step=41905, episodic_return=[-1018.62604]
global_step=42015, episodic_return=[-9.69845]
global_step=42045, episodic_return=[-27.914417]
global_step=42070, episodic_return=[3.7671044]
global_step=42080, episodic_return=[-12.756671]
global_step=42165, episodic_return=[-20.285892]
global_step=42215, episodic_return=[-16.037874]
global_step=42315, episodic_return=[-36.063248]
global_step=42490, episodic_return=[-49.85695]
global_step=42515, episodic_return=[-53.011917]
global_step=42600, episodic_return=[-11.393029]
global_step=42805, episodic_return=[-13.026655]
global_step=42810, episodic_return=[-50.469414]
global_step=42975, episodic_return=[-27.766773]
global_step=43030, episodic_return=[-67.66491]
global_step=43055, episodic_return=[-8.911242]
global_step=43115, episodic_return=[-15.794003]
global_step=43155, episodic_return=[-29.349792]
global_step=43185, episodic_return=[-18.945156]
global_step=43395, episodic_return=[-44.49895]
global_step=43500, episodic_return=[-81.63909]
global_step=43600, episodic_return=[-15.503315]
global_step=43660, episodic_return=[-12.6656885]
global_step=43765, episodic_return=[-92.95293]
global_step=43995, episodic_return=[-40.30712]
global_step=44055, episodic_return=[-9.025898]
global_step=44120, episodic_return=[-32.391335]
global_step=44230, episodic_return=[-5.360286]
