global_step=4750, episodic_return=[86.25016]
global_step=4755, episodic_return=[94.26182]
global_step=4760, episodic_return=[81.43471]
global_step=4850, episodic_return=[99.82776]
global_step=4860, episodic_return=[98.836426]
global_step=4905, episodic_return=[158.03053]
global_step=4935, episodic_return=[182.2645]
global_step=4985, episodic_return=[127.66951]
global_step=4985, episodic_return=[248.84062]
global_step=4995, episodic_return=[84.98033]
global_step=5010, episodic_return=[158.0121]
global_step=5060, episodic_return=[120.6922]
global_step=5105, episodic_return=[120.807495]
global_step=5110, episodic_return=[92.14811]
global_step=5150, episodic_return=[167.34499]
global_step=5155, episodic_return=[92.070724]
global_step=5200, episodic_return=[88.30537]
global_step=5210, episodic_return=[103.67606]
global_step=5235, episodic_return=[81.28908]
global_step=5235, episodic_return=[76.812645]
global_step=5250, episodic_return=[256.37018]
global_step=5315, episodic_return=[114.78108]
global_step=5320, episodic_return=[105.71478]
global_step=5330, episodic_return=[90.175896]
global_step=5350, episodic_return=[96.91504]
global_step=5360, episodic_return=[126.491806]
global_step=5410, episodic_return=[86.07654]
global_step=5415, episodic_return=[81.65919]
global_step=5445, episodic_return=[81.34725]
global_step=5495, episodic_return=[189.92049]
global_step=5515, episodic_return=[97.7241]
global_step=5530, episodic_return=[191.73224]
global_step=5540, episodic_return=[125.4115]
global_step=5555, episodic_return=[110.00745]
global_step=5585, episodic_return=[87.1473]
global_step=5625, episodic_return=[84.151085]
global_step=5625, episodic_return=[87.14132]
global_step=5650, episodic_return=[92.83664]
global_step=5675, episodic_return=[87.32547]
global_step=5705, episodic_return=[76.89668]
global_step=5745, episodic_return=[119.872025]
global_step=5745, episodic_return=[218.80084]
global_step=5765, episodic_return=[115.45342]
global_step=5775, episodic_return=[97.76499]
global_step=5825, episodic_return=[117.77165]
global_step=5830, episodic_return=[81.32771]
global_step=5890, episodic_return=[114.6519]
global_step=5890, episodic_return=[123.9306]
global_step=5905, episodic_return=[76.653694]
global_step=5910, episodic_return=[165.89833]
global_step=5960, episodic_return=[134.10327]
global_step=5975, episodic_return=[82.73043]
global_step=5985, episodic_return=[76.30996]
global_step=5985, episodic_return=[92.40532]
global_step=6030, episodic_return=[116.88343]
global_step=6055, episodic_return=[93.3607]
global_step=6070, episodic_return=[92.73972]
global_step=6070, episodic_return=[81.49869]
global_step=6095, episodic_return=[107.29002]
global_step=6140, episodic_return=[109.92285]
global_step=6155, episodic_return=[99.58496]
global_step=6160, episodic_return=[86.78178]
global_step=6170, episodic_return=[98.904366]
global_step=6220, episodic_return=[76.62532]
global_step=6235, episodic_return=[76.2932]
global_step=6240, episodic_return=[132.82182]
global_step=6265, episodic_return=[93.508484]
global_step=6280, episodic_return=[114.22929]
global_step=6350, episodic_return=[108.328445]
global_step=6350, episodic_return=[123.80985]
global_step=6365, episodic_return=[81.481865]
global_step=6385, episodic_return=[153.47931]
global_step=6390, episodic_return=[116.69034]
global_step=6455, episodic_return=[87.216835]
global_step=6460, episodic_return=[106.73022]
global_step=6465, episodic_return=[76.469315]
global_step=6475, episodic_return=[126.31222]
global_step=6475, episodic_return=[81.56336]
global_step=6545, episodic_return=[86.09744]
global_step=6555, episodic_return=[87.77911]
global_step=6570, episodic_return=[106.627815]
global_step=6610, episodic_return=[134.92116]
global_step=6615, episodic_return=[141.89755]
global_step=6640, episodic_return=[81.444]
global_step=6665, episodic_return=[115.946686]
global_step=6670, episodic_return=[98.4713]
global_step=6730, episodic_return=[114.689674]
global_step=6745, episodic_return=[101.9955]
global_step=6765, episodic_return=[90.00448]
global_step=6770, episodic_return=[165.84682]
global_step=6785, episodic_return=[111.127365]
global_step=6845, episodic_return=[112.39019]
global_step=6865, episodic_return=[90.96322]
global_step=6870, episodic_return=[81.448555]
global_step=6885, episodic_return=[121.14006]
global_step=6890, episodic_return=[142.84172]
global_step=6930, episodic_return=[81.170715]
global_step=6970, episodic_return=[76.77739]
global_step=7010, episodic_return=[76.49778]
global_step=7020, episodic_return=[144.48116]
global_step=7050, episodic_return=[183.72838]
global_step=7060, episodic_return=[87.544174]
global_step=7085, episodic_return=[190.25183]
global_step=7100, episodic_return=[86.91242]
global_step=7150, episodic_return=[123.20745]
global_step=7150, episodic_return=[97.15783]
global_step=7170, episodic_return=[81.461555]
global_step=7190, episodic_return=[86.47509]
global_step=7200, episodic_return=[141.37404]
global_step=7235, episodic_return=[81.318306]
global_step=7280, episodic_return=[87.57232]
global_step=7280, episodic_return=[127.27258]
global_step=7285, episodic_return=[110.3805]
global_step=7310, episodic_return=[108.71751]
global_step=7315, episodic_return=[76.310715]
global_step=7380, episodic_return=[97.820526]
global_step=7395, episodic_return=[119.170525]
global_step=7395, episodic_return=[76.56118]
global_step=7400, episodic_return=[87.98301]
global_step=7440, episodic_return=[153.18571]
global_step=7480, episodic_return=[81.49147]
global_step=7480, episodic_return=[76.43052]
global_step=7490, episodic_return=[93.54574]
global_step=7505, episodic_return=[125.15037]
global_step=7525, episodic_return=[81.315056]
global_step=7565, episodic_return=[81.50777]
global_step=7580, episodic_return=[86.1138]
global_step=7610, episodic_return=[127.63557]
global_step=7610, episodic_return=[102.502205]
global_step=7615, episodic_return=[86.18687]
global_step=7650, episodic_return=[81.50842]
global_step=7660, episodic_return=[76.46157]
global_step=7690, episodic_return=[76.47802]
global_step=7735, episodic_return=[81.42371]
global_step=7750, episodic_return=[87.86286]
global_step=7755, episodic_return=[131.56058]
global_step=7765, episodic_return=[155.86815]
global_step=7775, episodic_return=[81.34364]
global_step=7815, episodic_return=[76.32952]
global_step=7840, episodic_return=[81.240456]
global_step=7850, episodic_return=[81.55303]
global_step=7860, episodic_return=[81.488205]
global_step=7875, episodic_return=[116.96679]
global_step=7955, episodic_return=[94.838486]
global_step=7960, episodic_return=[113.96574]
global_step=7960, episodic_return=[81.48109]
global_step=7975, episodic_return=[131.02617]
global_step=7985, episodic_return=[157.02077]
global_step=8035, episodic_return=[76.34928]
global_step=8065, episodic_return=[106.76125]
global_step=8065, episodic_return=[86.09256]
global_step=8070, episodic_return=[110.04474]
global_step=8075, episodic_return=[86.521]
global_step=8120, episodic_return=[81.037224]
global_step=8155, episodic_return=[86.31692]
global_step=8160, episodic_return=[90.60594]
global_step=8185, episodic_return=[109.58345]
global_step=8195, episodic_return=[118.663956]
global_step=8200, episodic_return=[76.79906]
global_step=8245, episodic_return=[82.13958]
global_step=8250, episodic_return=[91.66081]
global_step=8265, episodic_return=[76.58388]
global_step=8285, episodic_return=[87.182625]
global_step=8300, episodic_return=[100.30156]
global_step=8345, episodic_return=[97.01318]
global_step=8355, episodic_return=[87.06572]
global_step=8380, episodic_return=[76.40426]
global_step=8410, episodic_return=[126.326515]
global_step=8445, episodic_return=[190.88098]
global_step=8450, episodic_return=[93.01248]
global_step=8470, episodic_return=[86.15167]
global_step=8470, episodic_return=[120.12666]
global_step=8495, episodic_return=[81.32215]
global_step=8550, episodic_return=[96.68759]
global_step=8550, episodic_return=[100.22008]
global_step=8565, episodic_return=[92.785164]
global_step=8565, episodic_return=[92.544014]
global_step=8625, episodic_return=[125.46475]
global_step=8650, episodic_return=[99.223785]
global_step=8670, episodic_return=[103.53682]
global_step=8675, episodic_return=[127.9691]
global_step=8685, episodic_return=[113.45641]
global_step=8725, episodic_return=[96.77599]
global_step=8740, episodic_return=[86.1722]
global_step=8755, episodic_return=[81.25827]
global_step=8770, episodic_return=[81.5881]
global_step=8775, episodic_return=[97.516235]
global_step=8830, episodic_return=[101.686935]
global_step=8840, episodic_return=[81.39182]
global_step=8845, episodic_return=[100.64093]
global_step=8870, episodic_return=[98.48646]
global_step=8880, episodic_return=[102.61087]
global_step=8910, episodic_return=[76.296326]
global_step=8955, episodic_return=[110.725174]
global_step=8965, episodic_return=[117.23245]
global_step=8985, episodic_return=[105.16438]
global_step=8995, episodic_return=[81.39434]
global_step=9050, episodic_return=[81.5265]
global_step=9050, episodic_return=[179.47533]
global_step=9075, episodic_return=[88.46524]
global_step=9080, episodic_return=[81.19526]
global_step=9115, episodic_return=[143.059]
global_step=9140, episodic_return=[87.55718]
global_step=9160, episodic_return=[76.84838]
global_step=9170, episodic_return=[87.58317]
global_step=9170, episodic_return=[122.00194]
global_step=9200, episodic_return=[81.03703]
global_step=9225, episodic_return=[82.15624]
global_step=9250, episodic_return=[76.707]
global_step=9270, episodic_return=[98.04871]
global_step=9280, episodic_return=[76.350716]
global_step=9315, episodic_return=[85.86021]
global_step=9315, episodic_return=[153.77902]
global_step=9340, episodic_return=[86.21261]
global_step=9370, episodic_return=[97.997696]
